Helper,product_type,sa_name,Rank,MP,completeness_weight,correctness_weight,normalization_weight,PT Scope,ASCS PT excluded,ASCS All excluded,Excluded,IDQ program PT overlap,IDQ program PT+Attribute overlap
AIMING_SCOPE_SIGHT-item_length_width_height,AIMING_SCOPE_SIGHT,item_length_width_height,4,1,8,8,8,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-sport_type,AIMING_SCOPE_SIGHT,sport_type,5,1,4,4,4,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-item_weight,AIMING_SCOPE_SIGHT,item_weight,6,1,4,4,4,1,0,1,1,0,0
AIMING_SCOPE_SIGHT-material,AIMING_SCOPE_SIGHT,material,7,1,4,4,4,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-magnification_maximum,AIMING_SCOPE_SIGHT,magnification_maximum,8,1,4,4,4,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-objective_lens.diameter,AIMING_SCOPE_SIGHT,objective_lens.diameter,9,1,4,4,4,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-magnification_minimum,AIMING_SCOPE_SIGHT,magnification_minimum,10,1,4,4,4,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-compatible_devices,AIMING_SCOPE_SIGHT,compatible_devices,11,1,2,2,2,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-mounting_type,AIMING_SCOPE_SIGHT,mounting_type,12,1,2,2,2,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-has_night_vision,AIMING_SCOPE_SIGHT,has_night_vision,13,1,2,2,2,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-eye_relief,AIMING_SCOPE_SIGHT,eye_relief,14,1,2,2,2,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-field_of_view,AIMING_SCOPE_SIGHT,field_of_view,15,1,1,1,1,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-league_name,AIMING_SCOPE_SIGHT,league_name,16,1,1,1,1,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-team_name,AIMING_SCOPE_SIGHT,team_name,17,1,1,1,1,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-eu_spare_part_availability_duration,AIMING_SCOPE_SIGHT,eu_spare_part_availability_duration,105,1,1,1,1,1,0,0,0,0,0
AIR_COMPRESSOR-brand,AIR_COMPRESSOR,brand,1,1,8,8,8,1,0,1,1,1,0
