product_type,attributes,Stream,cum_weightage,sa_name,completeness_weight,UMP,Seller - Required vs Optional
TABLETOP_GAME,material,"'FAQ', 'Customer_Search'",0.4,material,8,rac,Required
CLEANING_AGENT,item_form,"'Refinement', 'Customer_Search'",0.4,item_form,8,rac,Required
TABLETOP_GAME,item_length_width,"'FAQ', 'Customer_Search'",0.4,item_length_width,4,UMP,Required
DRINKING_CUP,recommended_uses_for_product,"'Refinement', 'FAQ'",0.4,recommended_uses_for_product,8,UMP,Optional
INCONTINENCE_PROTECTOR,size,"'FAQ', 'Customer_Search'",0.4,size,4,rac,Required
INCONTINENCE_PROTECTOR,reusability,"'Refinement', 'FAQ'",0.4,reusability,4,rac,Optional
TABLETOP_GAME,age_range_description,"'Refinement', 'Customer_Search'",0.4,age_range_description,8,mac,Optional
INCONTINENCE_PROTECTOR,number_of_items,"'Refinement', 'FAQ'",0.4,number_of_items,8,mac,Required
CLEANING_AGENT,scent,"'Refinement', 'Customer_Search'",0.4,scent,8,rac,Required
CLEANING_AGENT,specific_uses_for_product,"'FAQ', 'Customer_Search'",0.4,specific_uses_for_product,8,rac,Optional
CLEANING_AGENT,surface_recommendation,"'Refinement', 'Customer_Search'",0.4,surface_recommendation,4,rac,Optional
INCONTINENCE_PROTECTOR,target_gender,"'Refinement', 'Customer_Search'",0.4,target_gender,8,rac,Optional
EDIBLE_OIL_VEGETABLE,product_shelf_life,"'FAQ', 'Customer_Search'",0.4,product_shelf_life,4,UMP,Optional
HERB,item_form,"'FAQ', 'Customer_Search'",0.4,item_form,8,rac,Required
FOOD_STORAGE_CONTAINER,recommended_uses_for_product,"'Refinement', 'Customer_Search'",0.4,recommended_uses_for_product,4,rac,Optional
HEADPHONES,connectivity_technology,"'Refinement', 'Customer_Search'",0.4,connectivity_technology,8,rac,Required
SKIN_CLEANING_AGENT,material_type_free,"'Refinement', 'FAQ'",0.4,material_type_free,8,UMP,Optional
SCREEN_PROTECTOR,item_hardness,"'FAQ', 'Customer_Search'",0.4,item_hardness,8,rac,Optional
SKIN_CLEANING_AGENT,item_form,"'Refinement', 'Customer_Search'",0.4,item_form,8,rac,Required
SCREEN_PROTECTOR,material,"'FAQ', 'Customer_Search'",0.4,material,8,rac,Required
FRUIT,ingredients,"'FAQ', 'Customer_Search'",0.4,ingredients,8,UMP,Required
SKIN_CLEANING_AGENT, product_benefit,"'FAQ', 'Customer_Search'",0.4,,,,
SHOES,sport_type,"'FAQ', 'Customer_Search'",0.4,sport_type,4,UMP,Optional
SCREEN_PROTECTOR,special_feature,"'FAQ', 'Customer_Search'",0.4,special_feature,4,mac,Optional
FRUIT,specialty,"'FAQ', 'Customer_Search'",0.4,specialty,4,rac,Optional
